"","Patid","mean_RPKM_1.19","mean_RPKM_20.29","Ratio20.29","mRNA_count","BRAF","NRAS","RSEM_normalized","ATI"
"215","TCGA-EE-A3AA",0.838748423404165,1.32543978271233,1.58025904517694,756,"E695K","NaN",107.8771,0
"216","TCGA-EE-A3AB",0.0589749167960057,0.0406259239433092,0.688867846712431,53,"V600E","NaN",7.7219,0
"217","TCGA-EE-A3AC",0.492948210735709,2.36100488157867,4.78955969442499,1187,"NaN","Q61K",125.3725,0
"218","TCGA-EE-A3AD",0.0369307287033422,2.79601659305882,75.7097596291346,877,"V600E","NaN",100.7806,1
"219","TCGA-EE-A3AE",0.218784573260659,2.55712022474342,11.6878452014845,1111,"NaN","NaN",113.8466,1
"220","TCGA-EE-A3AF",0.113201449195504,8.83826485253781,78.0755451043187,2372,"V600E","NaN",333.5901,1
"221","TCGA-EE-A3AG",0.877120047247486,0.922075601489972,1.05125359337477,1042,"V600E","NaN",103.7101,0
"222","TCGA-EE-A3AH",0.537251814183225,4.78909893904648,8.91406750543461,2068,"V600E","NaN",239.012,0
"223","TCGA-EE-A3J3",0.151220480143468,0.235130992868475,1.55488854846512,197,"V600E","NaN",20.1988,0
"224","TCGA-EE-A3J4",0.0613304488651944,0.281059990433486,4.58271536624918,148,"V600E","NaN",17.8204,0
"225","TCGA-EE-A3J5",0.0367377613010722,0.324297766089369,8.82736875096154,146,"NaN","NaN",16.6966,0
"226","TCGA-EE-A3J7",2.16143686225122,3.66310736240913,1.69475566295,2484,"NaN","Q61R",249.6721,0
"227","TCGA-EE-A3J8",1.40954727699318,1.6286524974904,1.15544368328291,532,"NaN","Q61R",166.321,0
"228","TCGA-EE-A3JA",0.128625092297405,0.596337036467205,4.63624185464811,123,"NaN","Q61R",40.4896,0
"229","TCGA-EE-A3JB",0.229033551355165,0.0697437569122392,0.304513275454943,296,"V600E","NaN",31.8544,0
"230","TCGA-EE-A3JD",1.48271600821011,2.94512520837975,1.98630431726101,804,"S467L","NaN",201.9374,0
"231","TCGA-EE-A3JE",0.490797590829437,1.12230443440006,2.28669507628061,256,"V600E","NaN",66.3082,0
"232","TCGA-EE-A3JH",0.067364579261109,1.80405919448022,26.7805308704977,667,"K601E","NaN",115.5675,1
"233","TCGA-EE-A3JI",0.798600147719511,1.86220180321666,2.33183253037753,1247,"NaN","Q61K",106.7332,0
"234","TCGA-ER-A193",0.140775261050091,0.841048488021975,5.97440545837604,402,"V600R","NaN",42.0175,0
"235","TCGA-ER-A194",0,0.767113006884019,Inf,204,"NaN","NaN",48.6931,0
